,valor_leitura_flu_413
1403,71663.0
1404,71660.7
1405,71660.7
1406,71663.0
1407,71664.0
1408,71665.0
1409,71666.305
1410,71666.305
1411,71666.305
1412,71662.91
1413,71663.0
1414,71664.0
1415,71666.305
1416,71679.6
1417,71758.0
1418,71809.195
1419,71828.6
1420,71831.5
1421,71824.8
1422,71813.4
1423,71799.1
1424,71785.4
1425,71771.695
1426,71757.9
1427,71745.3
1428,71736.4
1429,71726.6
1430,71717.8
1431,71712.3
1432,71706.2
1433,71702.305
1434,71705.2
1435,71732.8
1436,71837.8
1437,71914.805
1438,71965.305
1439,72003.9
1440,72029.7
1441,72049.59
1442,72062.3
1443,72069.9
1444,72072.695
1445,72072.695
1446,72067.9
1447,72063.5
1448,72058.9
1449,72058.5
1450,72059.6
1451,72062.91
1452,72069.0
1453,72076.7
1454,72087.09
1455,72099.1
1456,72109.1
1457,72116.9
1458,72121.695
1459,72125.09
1460,72122.9
1461,72116.305
1462,72109.1
1463,72100.8
1464,72090.4
1465,72078.695
1466,72064.805
1467,72048.1
1468,72031.5
1469,72013.9
1470,71995.2
1471,71977.1
1472,71959.1
1473,71942.3
1474,71927.0
1475,71912.09
1476,71898.4
1477,71885.7
1478,71873.6
1479,71859.805
1480,71848.3
1481,71837.3
1482,71827.4
1483,71816.5
1484,71807.8
1485,71798.3
1486,71790.0
1487,71783.5
1488,71776.9
1489,71770.5
1490,71763.3
1491,71759.5
1492,71756.09
1493,71751.2
1494,71747.305
1495,71745.2
1496,71744.0
1497,71746.305
1498,71747.4
1499,71749.0
1500,71749.0
1501,71750.7
1502,71750.6
1503,71750.0
1504,71752.1
1505,71749.8
1506,71749.91
1507,71748.8
1508,71748.7
1509,71748.3
1510,71747.1
1511,71746.0
1512,71744.3
1513,71743.5
1514,71742.6
1515,71739.805
1516,71740.4
1517,71739.2
1518,71738.1
1519,71736.4
1520,71735.9
1521,71733.6
1522,71732.5
1523,71731.9
1524,71731.9
1525,71730.8
1526,71730.9
1527,71730.4
1528,71730.3
1529,71730.3
1530,71729.7
1531,71726.8
1532,71725.09
1533,71724.0
1534,71729.7
1535,71832.0
1536,71974.7
1537,72028.1
1538,72037.0
1539,72023.9
1540,71999.8
1541,71973.5
1542,71947.9
1543,71924.7
1544,71900.3
1545,71878.0
1546,71858.695
1547,71840.0
1548,71824.59
1549,71810.9
1550,71797.695
1551,71785.6
1552,71777.9
1553,71770.695
1554,71764.695
1555,71758.695
1556,71754.2
1557,71750.9
1558,71750.3
1559,71756.9
1560,71768.4
1561,71780.5
1562,71788.3
1563,71792.0
1564,71793.1
1565,71792.1
1566,71788.2
1567,71782.7
1568,71778.305
1569,71771.805
1570,71764.695
1571,71759.0
1572,71752.5
1573,71746.5
1574,71741.5
1575,71736.5
1576,71732.8
1577,71730.0
1578,71727.805
1579,71725.7
1580,71724.0
1581,71723.4
1582,71722.305
1583,71720.695
1584,71719.6
1585,71717.9
1586,71715.695
1587,71714.1
1588,71712.5
1589,71710.8
1590,71708.5
1591,71706.41
1592,71704.2
1593,71702.0
1594,71700.6
1595,71698.7
1596,71697.6
1597,71696.5
1598,71695.9
1599,71694.3
1600,71693.2
1601,71692.1
1602,71691.6
1603,71691.0
1604,71691.0
1605,71691.0
1606,71690.4
1607,71690.4
1608,71690.4
1609,71690.4
1610,71690.4
1611,71690.4
1612,71689.9
1613,71689.3
1614,71688.8
1615,71688.2
1616,71687.2
1617,71686.6
1618,71685.5
1619,71685.6
1620,71684.305
1621,71683.3
1622,71682.8
1623,71682.2
1624,71681.6
1625,71681.09
1626,71680.0
1627,71679.9
1628,71678.9
1629,71678.9
1630,71679.0
1631,71678.0
1632,71678.0
1633,71675.8
1634,71674.7
1635,71673.6
1636,71673.6
1637,71672.4
1638,71671.4
1639,71671.4
1640,71670.4
1641,71668.1
1642,71667.2
1643,71667.0
1644,71668.0
1645,71667.0
1646,71667.0
1647,71667.0
1648,71667.0
1649,71665.805
1650,71667.9
1651,71669.0
1652,71669.1
1653,71669.1
1654,71670.1
1655,71672.195
1656,71674.4
1657,71676.7
1658,71676.7
1659,71678.9
1660,71678.9
1661,71679.9
1662,71681.09
1663,71681.5
1664,71681.5
1665,71681.5
1666,71683.195
1667,71683.195
1668,71683.695
1669,71685.9
1670,71686.5
1671,71687.09
1672,71687.5
1673,71689.695
1674,71688.7
1675,71688.7
1676,71688.1
1677,71687.5
1678,71685.8
1679,71685.8
1680,71685.195
1681,71685.8
1682,71685.8
1683,71686.3
1684,71687.0
1685,71684.695
1686,71684.695
1687,71681.41
1688,71681.41
1689,71679.8
1690,71679.9
1691,71679.9
1692,71677.5
1693,71678.6
1694,71679.8
1695,71680.9
1696,71679.8
1697,71681.41
1698,71681.9
1699,71681.41
1700,71681.9
1701,71683.0
1702,71683.1
1703,71683.1
1704,71683.6
1705,71683.1
1706,71683.695
1707,71684.805
1708,71684.305
1709,71684.305
1710,71683.695
1711,71683.695
1712,71682.7
1713,71682.1
1714,71681.5
1715,71681.09
1716,71679.9
1717,71679.9
1718,71679.9
1719,71678.805
1720,71678.805
1721,71678.9
1722,71678.805
1723,71678.805
1724,71678.9
1725,71677.805
1726,71677.805
1727,71677.805
1728,71676.7
1729,71676.7
1730,71676.7
1731,71677.805
1732,71676.7
1733,71676.7
1734,71676.7
1735,71676.7
1736,71676.7
1737,71676.7
1738,71676.7
1739,71676.7
1740,71676.7
1741,71676.7
1742,71675.6
1743,71675.6
1744,71675.6
1745,71674.5
1746,71674.5
1747,71673.4
1748,71673.4
1749,71673.4
1750,71672.4
1751,71672.4
1752,71671.195
1753,71671.195
1754,71670.1
1755,71670.1
1756,71670.1
1757,71669.1
1758,71669.0
1759,71669.1
1760,71669.0
1761,71669.0
1762,71669.0
1763,71669.0
1764,71669.0
1765,71667.9
1766,71667.9
1767,71667.9
1768,71666.805
1769,71666.805
1770,71666.805
1771,71666.805
1772,71665.805
1773,71664.695
1774,71664.695
1775,71663.5
1776,71662.59
1777,71660.5
1778,71659.4
1779,71657.2
1780,71656.09
1781,71652.695
1782,71652.695
1783,71653.9
1784,71653.805
1785,71653.805
1786,71652.805
1787,71652.805
1788,71652.805
1789,71651.6
1790,71651.6
1791,71651.6
1792,71651.6
1793,71656.8
1794,71656.7
1795,71652.695
1796,71654.7
1797,71654.6
1798,71655.8
1799,71654.6
1800,71654.6
1801,71654.6
1802,71654.6
1803,71656.7
1804,71665.4
1805,71656.8
1806,71656.7
1807,71657.8
1808,71658.9
1809,71661.0
1810,71661.1
1811,71663.3
1812,71663.4
1813,71664.4
1814,71664.4
1815,71664.4
1816,71671.9
1817,71666.6
1818,71666.6
1819,71665.4
1820,71667.7
1821,71667.6
1822,71667.6
1823,71669.7
1824,71671.9
1825,71667.5
1826,71666.305
1827,71669.5
1828,71819.5
1829,71671.9
1830,71672.0
1831,71674.2
1832,71674.3
1833,71675.41
1834,71674.4
1835,71675.5
1836,71675.41
1837,71692.6
1838,71743.1
1839,71790.305
1840,71804.0
1841,71840.4
1842,71850.9
1843,71856.3
1844,71856.3
1845,71854.1
1846,71849.2
1847,71842.5
1848,71835.4
1849,71827.6
1850,71819.9
1851,71811.8
1852,71723.9
1853,71796.4
1854,71788.2
1855,71780.4
1856,71772.195
1857,71764.6
1858,71758.0
1859,71751.9
1860,71745.3
1861,71739.4
1862,71733.3
1863,71728.305
1864,71702.0
1865,71719.5
